_id,_masterChatId,_roomId,_chapterId,_scriptKey,_title,_firstLineValue,_noticeValue,_appearStampIdList,_masterReleaseLabelId
100200108,1002,1,100200108,1002_1_8,繪里 (私訊),繪里上線了,繪里上線了,"stamp_00_00000_0001,stamp_00_00000_0008,stamp_00_00000_0011,stamp_00_00000_0053,stamp_00_00000_0055,stamp_00_00000_0059",1
100200109,1002,1,100200109,1002_1_9,繪里 (私訊),繪里上線了,繪里上線了,"stamp_00_00000_0008,stamp_00_00000_0057,stamp_00_00000_0059,stamp_00_00000_0060,stamp_00_00000_0092,stamp_00_00000_0094,stamp_00_00000_0095",1
100200110,1002,1,100200110,1002_1_10,繪里 (私訊),繪里上線了,繪里上線了,"stamp_00_00000_0001,stamp_00_00000_0014,stamp_00_00000_0015,stamp_00_00000_0016,stamp_00_00000_0017,stamp_00_00000_0034,stamp_00_00000_0055,stamp_00_00000_0082,stamp_00_00000_0085,stamp_00_00000_0093,stamp_00_00000_0094",1
100200111,1002,1,100200111,1002_1_11,繪里 (私訊),繪里傳送了貼圖,繪里傳送了貼圖,"stamp_00_00000_0009,stamp_00_00000_0020,stamp_00_00000_0025,stamp_00_00000_0037,stamp_00_00000_0051,stamp_00_00000_0059,stamp_00_00000_0060,stamp_00_00000_0090,stamp_00_00000_0094",1
100200112,1002,1,100200112,1002_1_12,繪里 (私訊),繪里: Do you have time 至 chat?,繪里: Do you have time 至 chat?,"stamp_00_00000_0005,stamp_00_00000_0050,stamp_00_00000_0052,stamp_00_00000_0078,stamp_00_00000_0091",1
100200113,1002,1,100200113,1002_1_13,繪里 (私訊),繪里: Listen 至 this!,繪里: Listen 至 this!,"stamp_00_00000_0011,stamp_00_00000_0021,stamp_00_00000_0048,stamp_00_00000_0053,stamp_00_00000_0055,stamp_00_00000_0057,stamp_00_00000_0059,stamp_00_00000_0060,stamp_00_00000_0090",1
100200114,1002,1,100200114,1002_1_14,繪里 (私訊),繪里上線了,繪里上線了,"stamp_00_00000_0008,stamp_00_00000_0009,stamp_00_00000_0026,stamp_00_00000_0087,stamp_00_00000_0088,stamp_00_00000_0092,stamp_00_00000_0095",1
100200115,1002,1,100200115,1002_1_15,繪里 (私訊),繪里上線了,繪里上線了,"stamp_00_00000_0003,stamp_00_00000_0022,stamp_00_00000_0037,stamp_00_00000_0048,stamp_00_00000_0050,stamp_00_00000_0057,stamp_00_00000_0071,stamp_00_00000_0081,stamp_00_00000_0082,stamp_00_00000_0088",1
100200201,1002,2,100200201,1002_2_1,繪里 (生日 2023),繪里上線了,繪里上線了,"stamp_00_00000_0009,stamp_00_00000_0021,stamp_00_00000_0025,stamp_00_00000_0037,stamp_00_00000_0053,stamp_00_00000_0079",123102102
100200301,1002,3,100200301,1002_3_1,繪里 (生日 2023),繪里: Happy birthday!,繪里: Happy birthday!,"stamp_00_00000_0019,stamp_00_00000_0059,stamp_00_00000_0079,stamp_00_00000_0088",1
100200401,1002,16,100200401,1002_16_1,繪里: (New Year's 2024),繪里: Happy New Year,繪里: Happy New Year,,324010141
100200501,1002,17,100200501,1002_17_1,Eri Valentine 2024,Eri: Thanks 為 Valentine's Day chocolates today!,繪里: Thanks 為 Valentine's chocolates today.,"stamp_00_00000_0005,stamp_00_00000_0038,stamp_00_00000_0057,stamp_00_00000_0079,stamp_00_00000_0088",324021435
100200701,1002,7,100200701,1002_7_1,繪里 (4月 2023),繪里上線了,繪里上線了,"stamp_00_00000_0010,stamp_00_00000_0048,stamp_00_00000_0060,stamp_00_00000_0094",1
100200801,1002,8,100200801,1002_8_1,繪里 (5月 2023),繪里: Oh，listen 至 this!,繪里: Oh，listen 至 this!,"stamp_00_00000_0088,stamp_00_00000_0091",1
100200901,1002,9,100200901,1002_9_1,繪里 (6月 2023),繪里上線了,繪里上線了,"stamp_00_00000_0029,stamp_00_00000_0057",323060804
100201001,1002,10,100201001,1002_10_1,繪里 (7月 2023),繪里: It's been really hot lately—are you feeling okay?,繪里: It's been really hot lately—are you feeling okay?,"stamp_00_00000_0048,stamp_00_00000_0083,stamp_00_00000_0092,stamp_01_01001_0003",323072405
100201101,1002,11,100201101,1002_11_1,繪里 (Summer Vacation 2023),繪里: Why does everyone love scary stories 於 summertime...,繪里: Why does everyone love scary stories 於 summertime...,stamp_00_00000_0016,323080703
100201201,1002,12,100201201,1002_12_1,繪里 (9月 2023),繪里: So I went 至 that place selling seasonal cakes 與 希 與 妮可.,繪里: So I went 至 that place selling seasonal cakes 與 希 與 妮可.,stamp_00_00000_0020,323092503
100201301,1002,13,100201301,1002_13_1,繪里 (Halloween 2023),繪里上線了,繪里上線了,"stamp_00_00000_0005,stamp_00_00000_0009,stamp_00_00000_0048,stamp_00_00000_0050,stamp_00_00000_0088",323103133
100201401,1002,14,100201401,1002_14_1,繪里 (11月 2023),繪里: It's feeling like autumn!,繪里: It's feeling like autumn!,"stamp_00_00000_0037,stamp_00_00000_0056",323112003
100201501,1002,15,100201501,1002_15_1,繪里 (Christmas 2023),繪里上線了,繪里上線了,"stamp_00_00000_0048,stamp_00_00000_0050,stamp_00_00000_0088",323122414
100201801,1002,18,100201801,1002_18_1,繪里 (White Day 2024),繪里: Thanks 為 White Day gift today.,繪里: Thanks 為 White Day gift today.,stamp_00_00000_0009,324031436
100300101,1003,1,100300101,1003_1_1,小鳥 (私訊),小鳥: Hey！It's 小鳥.,小鳥: Hey！It's 小鳥.,"stamp_00_00000_0077,stamp_00_00000_0079,stamp_00_00000_0088",1
100300102,1003,1,100300102,1003_1_2,小鳥 (私訊),小鳥上線了,小鳥上線了,"stamp_00_00000_0005,stamp_00_00000_0008,stamp_00_00000_0037,stamp_00_00000_0059,stamp_00_00000_0077,stamp_00_00000_0093",1
100300103,1003,1,100300103,1003_1_3,小鳥 (私訊),小鳥傳送了貼圖,小鳥傳送了貼圖,"stamp_00_00000_0025,stamp_00_00000_0059,stamp_00_00000_0088,stamp_00_00000_0094",1
100300104,1003,1,100300104,1003_1_4,小鳥 (私訊),小鳥 sent image,小鳥 sent image,"stamp_00_00000_0009,stamp_00_00000_0068,stamp_00_00000_0077,stamp_00_00000_0089",1
100300105,1003,1,100300105,1003_1_5,小鳥 (私訊),小鳥傳送了貼圖,小鳥傳送了貼圖,"stamp_00_00000_0001,stamp_00_00000_0017,stamp_00_00000_0025,stamp_00_00000_0027,stamp_00_00000_0061,stamp_00_00000_0078,stamp_00_00000_0079,stamp_00_00000_0080,stamp_00_00000_0081,stamp_00_00000_0084,stamp_00_00000_0091,stamp_00_00000_0093",1
100300106,1003,1,100300106,1003_1_6,小鳥 (私訊),小鳥上線了,小鳥上線了,"stamp_00_00000_0003,stamp_00_00000_0005,stamp_00_00000_0009,stamp_00_00000_0017,stamp_00_00000_0029,stamp_00_00000_0059,stamp_00_00000_0077,stamp_00_00000_0079,stamp_01_01003_0001",1
100300107,1003,1,100300107,1003_1_7,小鳥 (私訊),小鳥: Hiya.,小鳥: Hiya.,"stamp_00_00000_0001,stamp_00_00000_0009,stamp_00_00000_0019,stamp_00_00000_0037,stamp_00_00000_0049,stamp_00_00000_0077",1
100300108,1003,1,100300108,1003_1_8,小鳥 (私訊),小鳥上線了,小鳥上線了,"stamp_00_00000_0009,stamp_00_00000_0059,stamp_00_00000_0091",1
100300109,1003,1,100300109,1003_1_9,小鳥 (私訊),小鳥上線了,小鳥上線了,"stamp_00_00000_0014,stamp_00_00000_0015,stamp_00_00000_0017,stamp_00_00000_0049,stamp_00_00000_0079,stamp_00_00000_0082,stamp_00_00000_0088",1
100300110,1003,1,100300110,1003_1_10,小鳥 (私訊),小鳥傳送了貼圖,小鳥傳送了貼圖,"stamp_00_00000_0059,stamp_00_00000_0088",1
100300111,1003,1,100300111,1003_1_11,小鳥 (私訊),小鳥傳送了貼圖,小鳥傳送了貼圖,"stamp_00_00000_0005,stamp_00_00000_0069,stamp_00_00000_0077,stamp_00_00000_0080,stamp_00_00000_0094,stamp_01_01003_0001",1
100300112,1003,1,100300112,1003_1_12,小鳥 (私訊),小鳥: What happens next?,小鳥: What happens next?,,1
100300113,1003,1,100300113,1003_1_13,小鳥 (私訊),小鳥: Sorry about earlier，I'm really embarrassed.,小鳥: Sorry about earlier，I'm really embarrassed.,"stamp_00_00000_0075,stamp_00_00000_0080",1
100300114,1003,1,100300114,1003_1_14,小鳥 (私訊),小鳥上線了,小鳥上線了,"stamp_00_00000_0085,stamp_00_00000_0095",1
100300115,1003,1,100300115,1003_1_15,小鳥 (私訊),小鳥上線了,小鳥上線了,"stamp_00_00000_0016,stamp_00_00000_0027,stamp_00_00000_0029,stamp_00_00000_0050,stamp_00_00000_0077,stamp_00_00000_0079,stamp_00_00000_0081,stamp_00_00000_0090",1
100300201,1003,2,100300201,1003_2_1,小鳥 (生日 2023),小鳥上線了,小鳥上線了,"stamp_00_00000_0009,stamp_00_00000_0021,stamp_00_00000_0037,stamp_00_00000_0038,stamp_00_00000_0060,stamp_00_00000_0079,stamp_00_00000_0081,stamp_00_00000_0088",123091202
100300301,1003,3,100300301,1003_3_1,小鳥 (生日 2023),小鳥傳送了貼圖,小鳥傳送了貼圖,"stamp_00_00000_0005,stamp_00_00000_0009,stamp_00_00000_0021,stamp_00_00000_0029,stamp_00_00000_0048,stamp_00_00000_0059,stamp_00_00000_0061,stamp_00_00000_0077,stamp_00_00000_0084,stamp_00_00000_0094",1
100300401,1003,16,100300401,1003_16_1,小鳥 (New Year's 2024),小鳥: Happy New Year,小鳥: Happy New Year,"stamp_00_00000_0008,stamp_00_00000_0057",324010142
100300501,1003,17,100300501,1003_17_1,小鳥 Valentine 2024,小鳥: Happy Valentine's Day!,小鳥: Happy Valentine's!,"stamp_00_00000_0008,stamp_00_00000_0009,stamp_00_00000_0079",324021436
100300701,1003,7,100300701,1003_7_1,小鳥 (4月 2023),小鳥上線了,小鳥上線了,"stamp_00_00000_0009,stamp_00_00000_0057,stamp_00_00000_0095",1
100300801,1003,8,100300801,1003_8_1,小鳥 (5月 2023),小鳥傳送了貼圖,小鳥傳送了貼圖,stamp_01_01003_0001,1
100300901,1003,9,100300901,1003_9_1,小鳥 (6月 2023),小鳥: So I got letter 來自 somebody who came 至 last 演唱會.,小鳥: So I got letter 來自 somebody who came 至 last 演唱會.,,323060403
100301001,1003,10,100301001,1003_10_1,小鳥 (7月 2023),小鳥: Hey，got minute？There's something I want 至 ask you about.,小鳥: Hey，got minute？There's something I want 至 ask you about.,,323071203
100301101,1003,11,100301101,1003_11_1,小鳥 (Summer Vacation 2023),小鳥傳送了貼圖,小鳥傳送了貼圖,"stamp_00_00000_0079,stamp_01_01003_0001",323080704
100301201,1003,12,100301201,1003_12_1,小鳥 (9月 2023),小鳥上線了,小鳥上線了,"stamp_00_00000_0052,stamp_00_00000_0053,stamp_00_00000_0060,stamp_01_01001_0003",323092804
100301301,1003,13,100301301,1003_13_1,小鳥 (Halloween 2023),小鳥: Hi!,小鳥: Hi!,stamp_00_00000_0092,323103134
100301401,1003,14,100301401,1003_14_1,小鳥 (11月 2023),小鳥傳送了貼圖,小鳥傳送了貼圖,"stamp_00_00000_0010,stamp_00_00000_0088,stamp_01_01003_0001",323112603
100301501,1003,15,100301501,1003_15_1,小鳥 (Christmas 2023),小鳥: Merry Christmas!,小鳥: Merry Christmas!,"stamp_00_00000_0021,stamp_00_00000_0038,stamp_00_00000_0079",323122526
100301801,1003,18,100301801,1003_18_1,小鳥 (White Day 2024),小鳥: Thanks 為 White Day gift today!,小鳥: Thanks 為 White Day gift today!,"stamp_00_00000_0038,stamp_00_00000_0050,stamp_00_00000_0056",324031437
100400101,1004,1,100400101,1004_1_1,海未 (私訊),海未上線了,海未上線了,,1
100400102,1004,1,100400102,1004_1_2,海未 (私訊),海未上線了,海未上線了,stamp_00_00000_0034,1
100400103,1004,1,100400103,1004_1_3,海未 (私訊),海未: Are you around 透過 any 機率?,海未: Are you around 透過 any 機率?,stamp_00_00000_0048,1
100400104,1004,1,100400104,1004_1_4,海未 (私訊),海未上線了,海未上線了,"stamp_00_00000_0059,stamp_00_00000_0090",1
100400105,1004,1,100400105,1004_1_5,海未 (私訊),海未: Sorry 至 keep you waiting.,海未: Sorry 至 keep you waiting.,"stamp_00_00000_0008,stamp_00_00000_0009,stamp_00_00000_0037",1
100400106,1004,1,100400106,1004_1_6,海未 (私訊),海未傳送了貼圖,海未傳送了貼圖,"stamp_00_00000_0001,stamp_00_00000_0006,stamp_00_00000_0008,stamp_00_00000_0011,stamp_00_00000_0025,stamp_00_00000_0040,stamp_00_00000_0059,stamp_01_01004_0002",1
100400107,1004,1,100400107,1004_1_7,海未 (私訊),海未上線了,海未上線了,"stamp_00_00000_0059,stamp_00_00000_0093",1
100400108,1004,1,100400108,1004_1_8,海未 (私訊),海未: That reminds me，I believe you said you were looking 為 sport 至 do，right?,海未: That reminds me，I believe you said you were looking 為 sport 至 do，right?,"stamp_00_00000_0017,stamp_00_00000_0080",1
100400109,1004,1,100400109,1004_1_9,海未 (私訊),海未傳送了貼圖,海未傳送了貼圖,"stamp_00_00000_0059,stamp_00_00000_0084",1
100400110,1004,1,100400110,1004_1_10,海未 (私訊),海未上線了,海未上線了,"stamp_00_00000_0001,stamp_00_00000_0008,stamp_00_00000_0009,stamp_00_00000_0037,stamp_00_00000_0054",1
100400111,1004,1,100400111,1004_1_11,海未 (私訊),海未: Finished!,海未: Finished!,"stamp_00_00000_0001,stamp_00_00000_0005,stamp_00_00000_0048,stamp_00_00000_0078",1
100400112,1004,1,100400112,1004_1_12,海未 (私訊),海未: Sorry 為 contacting you so late.,海未: Sorry 為 contacting you so late.,"stamp_00_00000_0001,stamp_00_00000_0003,stamp_00_00000_0008,stamp_00_00000_0059,stamp_00_00000_0092",1
100400113,1004,1,100400113,1004_1_13,海未 (私訊),海未: Finally，tomorrow is big performance.,海未: Finally，tomorrow is big performance.,stamp_00_00000_0049,1
100400114,1004,1,100400114,1004_1_14,海未 (私訊),海未上線了,海未上線了,stamp_00_00000_0009,1
100400115,1004,1,100400115,1004_1_15,海未 (私訊),海未上線了,海未上線了,"stamp_00_00000_0001,stamp_00_00000_0009,stamp_00_00000_0011,stamp_00_00000_0017,stamp_00_00000_0029,stamp_00_00000_0037,stamp_00_00000_0060,stamp_00_00000_0090",1
100400301,1004,3,100400301,1004_3_1,海未 (生日 2023),海未: I apologize 為 sending this so late.,海未: I apologize 為 sending this so late.,stamp_00_00000_0005,1
100400401,1004,16,100400401,1004_16_1,海未 (New Year's 2024),海未: Happy New Year 至 you,海未: Happy New Year 至 you,"stamp_00_00000_0009,stamp_00_00000_0095",324010143
100400501,1004,17,100400501,1004_17_1,海未 Valentine 2024,海未: Thank you 為 Valentine's Day chocolates today!,海未: Thank you 為 Valentine's Day chocolates today.,"stamp_00_00000_0048,stamp_00_00000_0089",324021437
100400701,1004,7,100400701,1004_7_1,海未 (4月 2023),海未: Things are finally feeling like spring.,海未: Things are finally feeling like spring.,,1
100400801,1004,8,100400801,1004_8_1,海未 (5月 2023),海未 sent image,海未 sent image,,1
100400901,1004,9,100400901,1004_9_1,海未 (6月 2023),海未上線了,海未上線了,,323061602
100401001,1004,10,100401001,1004_10_1,海未 (7月 2023),海未: Hello.,海未: Hello.,"stamp_00_00000_0056,stamp_00_00000_0093",323072406
100401101,1004,11,100401101,1004_11_1,海未 (Summer Vacation 2023),海未: Oh dear，I have distressing news!,海未: Oh dear，I have distressing news!,,323082403
100401201,1004,12,100401201,1004_12_1,海未 (9月 2023),海未: Hello.,海未: Hello.,"stamp_00_00000_0004,stamp_00_00000_0095",323090303
100401301,1004,13,100401301,1004_13_1,海未 (Halloween 2023),海未上線了,海未上線了,stamp_00_00000_0008,323103135
100401401,1004,14,100401401,1004_14_1,海未 (11月 2023),海未: Are you ready 為 our next BBQ?,海未: Are you ready 為 our next BBQ?,,323111604
100401501,1004,15,100401501,1004_15_1,海未 (Christmas 2023),海未上線了,海未上線了,stamp_00_00000_0009,323122415
100401801,1004,18,100401801,1004_18_1,海未 (White Day 2024),海未: Thank you 為 White Day gift today.,海未: Thank you 為 White Day gift today.,stamp_00_00000_0054,324031438
100500101,1005,1,100500101,1005_1_1,凜 (私訊),凜上線了,凜上線了,"stamp_00_00000_0005,stamp_00_00000_0007,stamp_00_00000_0049,stamp_00_00000_0061,stamp_00_00000_0088,stamp_00_00000_0090",1
100500102,1005,1,100500102,1005_1_2,凜 (私訊),凜傳送了貼圖,凜傳送了貼圖,"stamp_00_00000_0046,stamp_00_00000_0049,stamp_00_00000_0093",1
100500103,1005,1,100500103,1005_1_3,凜 (私訊),凜上線了,凜上線了,"stamp_00_00000_0006,stamp_00_00000_0007,stamp_00_00000_0010,stamp_00_00000_0017,stamp_00_00000_0019,stamp_00_00000_0046,stamp_00_00000_0088",1
100500104,1005,1,100500104,1005_1_4,凜 (私訊),凜上線了,凜上線了,"stamp_00_00000_0004,stamp_00_00000_0012,stamp_00_00000_0036,stamp_00_00000_0037,stamp_00_00000_0039,stamp_00_00000_0048,stamp_00_00000_0053,stamp_00_00000_0060,stamp_00_00000_0084,stamp_00_00000_0093,stamp_01_01005_0007",1
100500105,1005,1,100500105,1005_1_5,凜 (私訊),凜上線了,凜上線了,"stamp_00_00000_0004,stamp_00_00000_0015,stamp_00_00000_0037,stamp_00_00000_0038,stamp_00_00000_0053,stamp_00_00000_0056,stamp_00_00000_0059,stamp_00_00000_0060",1
100500106,1005,1,100500106,1005_1_6,凜 (私訊),凜傳送了貼圖,凜傳送了貼圖,"stamp_00_00000_0007,stamp_00_00000_0059",1
100500107,1005,1,100500107,1005_1_7,凜 (私訊),凜上線了,凜上線了,"stamp_00_00000_0006,stamp_00_00000_0036,stamp_00_00000_0037,stamp_00_00000_0049,stamp_00_00000_0080,stamp_00_00000_0084,stamp_00_00000_0093",1
100500108,1005,1,100500108,1005_1_8,凜 (私訊),凜傳送了貼圖,凜傳送了貼圖,"stamp_00_00000_0059,stamp_00_00000_0060",1
100500109,1005,1,100500109,1005_1_9,凜 (私訊),凜上線了,凜上線了,"stamp_00_00000_0021,stamp_00_00000_0038,stamp_00_00000_0094",1
100500110,1005,1,100500110,1005_1_10,凜 (私訊),凜上線了,凜上線了,"stamp_00_00000_0007,stamp_00_00000_0014,stamp_00_00000_0019,stamp_00_00000_0027,stamp_00_00000_0036,stamp_00_00000_0037,stamp_00_00000_0076,stamp_00_00000_0084,stamp_00_00000_0090",1
100500111,1005,1,100500111,1005_1_11,凜 (私訊),凜傳送了貼圖,凜傳送了貼圖,"stamp_00_00000_0014,stamp_00_00000_0016",1
